Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 яатобар ,икинсяМ; имыртсо ;Мясники, работая ; острыми ; ; ножами, сдирали с него шкуру.;А. С. Новиков-Прибой. Цусима (1932-1935);А. С. Новиков-Прибой;1877;Цусима;1932-1935;художественная;роман;_;;;книга;омонимия не снята;Мясники, работая острыми ножами, сдирали с него шкуру. [А. С. Новиков-Прибой. Цусима (1932-1935)] [омонимия не снята]
" отч ,от ан яртомсен ;тсовх"; йыртсо ;"хвост; несмотря на то, что "; острый ; ; нож разрезал ее на части,;А. С. Новиков-Прибой. Цусима (1932-1935);А. С. Новиков-Прибой;1877;Цусима;1932-1935;художественная;роман;_;;;книга;омонимия не снята;"Огромнейшее блюдо занимала глухарка; ее краснобровая, с загнутым клювом голова, вытянутая шея и раскинутые крылья оставались в оперении, к прожаренной темно-коричневой тушке был приставлен еще хвост; несмотря на то, что острый нож разрезал ее на части, она как будто находилась в состоянии стремительного полета. [А. С. Новиков-Прибой. Цусима (1932-1935)] [омонимия не снята]"
 ниязох ямерв отэ В; мыртсо ;В это время хозяин ; острым ; ; ножом разрезал тоненькие куски от;Николай Варенцов. Слышанное. Виденное. Передуманное. Пережитое (1930-1935);Николай Варенцов;1862;Слышанное. Виденное. Передуманное. Пережитое;1930-1935;нехудожественная, публицистика;мемуары;_;;;книга;омонимия не снята;В это время хозяин острым ножом разрезал тоненькие куски от задней ноги и укладывал на тарелки, обливая подливкой из желоба блюда. [Николай Варенцов. Слышанное. Виденное. Передуманное. Пережитое (1930-1935)] [омонимия не снята]
 витавхс ,ацйирисса йодороб с чалис; йыртсо ;силач с бородой ассирийца, схватив ; острый ; ; нож, им вспорол мою опухоль:;Андрей Белый. Между двух революций (1934);Андрей Белый;1880;Между двух революций;1934;художественная;мемуары;_;;;книга;омонимия не снята;"От этого брызнули слезы из глаз; он, схватив колпачок с хлороформом, накрыл им лицо; и тут все завертелось; и я ― как низринулся в небытие; волосатый силач с бородой ассирийца, схватив острый нож, им вспорол мою опухоль: хлынула красным атласом горевшая кровь. [Андрей Белый. Между двух революций (1934)] [омонимия не снята]"
 мымас ежад ьтапарацоп язьлен ее; мыртсо ;ее нельзя поцарапать даже самым ; острым ; ; ножом.;М. Агеев. Роман с кокаином (1934);М. Агеев;1898;Роман с кокаином;1934;художественная;роман;_;;;книга;омонимия не снята;Радость во мне уже настолько сильна, что проходит неповрежденной сквозь всякое оскорбление: как облако, ее нельзя поцарапать даже самым острым ножом. [М. Агеев. Роман с кокаином (1934)] [омонимия не снята]
 тукя -ниязох ,убыр юулзрем вязВ; мыртсо ;Взяв мерзлую рыбу, хозяин- якут ; острым ; ; ножом быстро вырезал желчный пузырь,;О. С. Минор. Это было давно... (1933);О. С. Минор;1861;Это было давно...;1933;нехудожественная, публицистика;мемуары;_;;;книга;омонимия не снята;Взяв мерзлую рыбу, хозяин- якут острым ножом быстро вырезал желчный пузырь, а хозяйка совала рыбу головой в котелок, стойком. [О. С. Минор. Это было давно... (1933)] [омонимия не снята]
.ьлор юуксечитилоп юунпурк и агалб; йыртсО ;блага и крупную политическую роль.; Острый ; ; нож марксизма понадобился буржуазной интеллигенции;Л. Д. Троцкий. Моя жизнь (1929-1933);Л. Д. Троцкий;1879;Моя жизнь;1929-1933;нехудожественная, публицистика;мемуары;_;;;книга;омонимия не снята;блага и крупную политическую роль. Острый нож марксизма понадобился буржуазной интеллигенции для того, чтобы перерезать народническую пуповину, связывавшую ее с постылым прошлым. [Л. Д. Троцкий. Моя жизнь (1929-1933)] [омонимия не снята]
 титищаз ен оге илсе ,юьчон; йыртсо ;ночью, если его не защитит ; острый ; ; нож, он будет, наверно, зарезан;В. Я. Шишков. Угрюм-река. Ч. 1-4 (1928-1933);В. Я. Шишков;1873;Угрюм-река. Ч. 1-4;1928-1933;художественная;роман;_;;;книга;омонимия не снята;Действительно, приискатель- бродяга сейчас при больших деньгах, а сегодня же ночью, если его не защитит острый нож, он будет, наверно, зарезан иль сброшен в Угрюм- реку. [В. Я. Шишков. Угрюм-река. Ч. 1-4 (1928-1933)] [омонимия не снята]
.ретсок илевзаР; йыртсО ;Развели костер.; Острый ; ; нож перерезал оленю горло.;В. Я. Шишков. Угрюм-река. Ч. 1-4 (1928-1933);В. Я. Шишков;1873;Угрюм-река. Ч. 1-4;1928-1933;художественная;роман;_;;;книга;омонимия не снята;Развели костер. Острый нож перерезал оленю горло. [В. Я. Шишков. Угрюм-река. Ч. 1-4 (1928-1933)] [омонимия не снята]
 и хакьнеревтеч ан енм ок; имыртсо ;ко мне на четвереньках и ; острыми ; ; зубами укусил мне ногу.;Н. А. Тэффи. Воспоминания (1932);Н. А. Тэффи;1872;Воспоминания;1932;нехудожественная, публицистика;мемуары;_;;;книга;омонимия не снята;Петлюра с диким визгом подполз ко мне на четвереньках и острыми зубами укусил мне ногу. [Н. А. Тэффи. Воспоминания (1932)] [омонимия не снята]
 ,окгел гзом оге в илидохв; умортсо ;входили в его мозг легко, ; острому ; ; ножу подобно, оставляя после себя;Л. М. Леонов. Скутаревский (1930-1932);Л. М. Леонов;1899;Скутаревский;1930-1932;художественная;роман;_;;;книга;омонимия не снята;"И время от времени Арсений, как завороженный, вслушивался в слова, произносимые над самым его ухом; они входили в его мозг легко, острому ножу подобно, оставляя после себя черные, бескровные, колотые раны, Никогда еще не доводилось ему прикасаться так близко к вещам, самое наименование которых он всегда слышал с отвращением и ужасом. [Л. М. Леонов. Скутаревский (1930-1932)] [омонимия не снята]"
 он ,йыважр тажаз лыб хин; йыртсо ;них был зажат ржавый, но ; острый ; ; нож, нож вошел в спину;В. В. Набоков. Terra incognita (1931);В. В. Набоков;1899;Terra incognita;1931;художественная;рассказ;_;;;книга;омонимия не снята;Откуда-то, из телесных лабиринтов, выюлили пальцы Кука, в них был зажат ржавый, но острый нож, нож вошел в спину Грегсона, как в глину, но Грегсон только крякнул, и оба несколько раз перевернулись, и когда опять показалась спина моего друга, там торчала рукоятка и верхняя половина лезвия, а сам он вцепился в толстую шею Кука и с треском давил, и Кук сучил ногами… [В. В. Набоков. Terra incognita (1931)] [омонимия не снята]
 и ухревк мохюрб ястенревоп ,ястизилбирп; имыртсо ;приблизится, повернется брюхом кверху и ; острыми ; ; зубами схватит добычу.;Василий Ян. Финикийский корабль (1931);Василий Ян;1874;Финикийский корабль;1931;художественная;повесть;_;;;книга;омонимия не снята;Сейчас чудовище приблизится, повернется брюхом кверху и острыми зубами схватит добычу. [Василий Ян. Финикийский корабль (1931)] [омонимия не снята]
 ыртев ецилу аН; еертсо ;На улице ветры ; острее ; ; ножей ― побежал к Халатову,;К. И. Чуковский. Дневник 1922-1935 (1931);К. И. Чуковский;1882;Дневник 1922-1935;1931;бытовая, нехудожественная;дневник, записные книжки;администрация и управление, искусство и культура, политика и общественная жизнь, частная жизнь;;;книга;омонимия не снята;На улице ветры острее ножей ― побежал к Халатову, его нету, примет завтра. [К. И. Чуковский. Дневник 1922-1935 (1931)] [омонимия не снята]
 акьлеЛ; мыртсо ;Лелька ; острым ; ; ножом обрезывала резину на колодке.;В. В. Вересаев. Сестры (1928-1931);В. В. Вересаев;1867;Сестры;1928-1931;художественная;роман;_;;;книга;омонимия не снята;Лелька острым ножом обрезывала резину на колодке. [В. В. Вересаев. Сестры (1928-1931)] [омонимия не снята]
 иласип ,нар хишан зи ьворк; мыртсо ;кровь из наших ран, писали ; острым ; ; ножом…;А. Н. Толстой. Петр Первый. Книга первая (1930);А. Н. Толстой;1882;Петр Первый. Книга первая;1930;художественная;роман;_;;;книга;омонимия не снята;Грамота кровью написана, брали кровь из наших ран, писали острым ножом… [А. Н. Толстой. Петр Первый. Книга первая (1930)] [омонимия не снята]
 ьсилизнов ынетс еытачневерб еынреч В; еыртсо ;В черные бревенчатые стены вонзились ; острые ; ; иглы ломов.;Г. Г. Белых. Дом веселых нищих (1930);Г. Г. Белых;1906;Дом веселых нищих;1930;художественная;повесть;_;;;книга;омонимия не снята;В черные бревенчатые стены вонзились острые иглы ломов. [Г. Г. Белых. Дом веселых нищих (1930)] [омонимия не снята]
 оп ми лидоворп ,целап винюлсоп; умортсо ;послюнив палец, проводил им по ; острому ; ; лезвию, делая страшные глаза…;Н. Н. Брешко-Брешковский. Дикая дивизия (1930);Н. Н. Брешко-Брешковский;1874;Дикая дивизия;1930;художественная;роман;_;;;книга;омонимия не снята;Для большей наглядности Карикозов вытягивал из ножен клинок и, послюнив палец, проводил им по острому лезвию, делая страшные глаза… [Н. Н. Брешко-Брешковский. Дикая дивизия (1930)] [омонимия не снята]
.ясьтагивд илгом ен ,иворк еыннешил; яартсО ;лишенные крови, не могли двигаться.; Острая ; ; игла продернулась сквозь мой мозг:;С. Д. Кржижановский. Странствующее «странно» (1930);С. Д. Кржижановский;1887;Странствующее «странно»;1930;художественная;повесть;_;;;книга;омонимия не снята;лишенные крови, не могли двигаться. Острая игла продернулась сквозь мой мозг: не то. [С. Д. Кржижановский. Странствующее «странно» (1930)] [омонимия не снята]
 доп ялефотрак иктсичо ончоТ; мыртсо ;Точно очистки картофеля под ; острым ; ; ножом, вылетала вся шелуха, которой;А. П. Гайдар. Школа (1929);А. П. Гайдар;1904;Школа;1929;художественная;повесть;_;;;книга;омонимия не снята;Точно очистки картофеля под острым ножом, вылетала вся шелуха, которой до сих пор была забита моя голова. [А. П. Гайдар. Школа (1929)] [омонимия не снята]
 ее ,гопас ащинелог еытслот ан; еыртсо ;на толстые голенища сапог, ее ; острые ; ; зубы сумели пройти до кожи.;А. П. Гайдар. Школа (1929);А. П. Гайдар;1904;Школа;1929;художественная;повесть;_;;;книга;омонимия не снята;Несмотря на толстые голенища сапог, ее острые зубы сумели пройти до кожи. [А. П. Гайдар. Школа (1929)] [омонимия не снята]
 ― щиравот мИ; йыртсо ;Им товарищ ― ; острый ; ; нож, ;А. П. Гайдар. Школа (1929);А. П. Гайдар;1904;Школа;1929;художественная;повесть;_;;;книга;омонимия не снята;Им товарищ ― острый нож,  [А. П. Гайдар. Школа (1929)] [омонимия не снята]
 ― ноказ йынсеволссеб нидо еен; еыртсо ;нее один бессловесный закон ― ; острые ; ; зубы.;Ф. Доброхотов. В речной воде // «В мастерской природы», 1929;Ф. Доброхотов;;В речной воде;1929;нехудожественная, учебно-научная;статья;наука и технологии, природа;«В мастерской природы»;1929;журнал;омонимия не снята;У нее один бессловесный закон ― острые зубы. [Ф. Доброхотов. В речной воде // «В мастерской природы», 1929] [омонимия не снята]
 ирт укур в янем илисуку; еыртсо ;укусили меня в руку три ; острые ; ; зуба».;В. В. Виноградов. Эволюция русского натурализма. Гоголь и Достоевский (1920-1929);В. В. Виноградов;1895;Эволюция русского натурализма. Гоголь и Достоевский;1920-1929;нехудожественная, учебно-научная;монография, сборник, статья;наука и технологии, филология;;;книга;омонимия не снята;В ту же минуту почувствовал я, что в темноте укусили меня в руку три острые зуба». [В. В. Виноградов. Эволюция русского натурализма. Гоголь и Достоевский (1920-1929)] [омонимия не снята]
 херт суку и ачевс меинахыд; хыртсо ;дыханием свеча и укус трех ; острых ; ; зубов) буквально реализует собою сравнение:;В. В. Виноградов. Эволюция русского натурализма. Гоголь и Достоевский (1920-1929);В. В. Виноградов;1895;Эволюция русского натурализма. Гоголь и Достоевский;1920-1929;нехудожественная, учебно-научная;монография, сборник, статья;наука и технологии, филология;;;книга;омонимия не снята;Она до своего внезапного и странного оживления ( открытые глаза, задутая холодным дыханием свеча и укус трех острых зубов) буквально реализует собою сравнение: comme un morceau de bois, comme une chose morte. [В. В. Виноградов. Эволюция русского натурализма. Гоголь и Достоевский (1920-1929)] [омонимия не снята]
 ин ,ылука ыбуз ин :теащищаз; йыртсо ;защищает: ни зубы акулы, ни ; острый ; ; нож не прорежут этой брони,;А. Р. Беляев. Человек-амфибия (1928);А. Р. Беляев;1884;Человек-амфибия;1928;художественная;роман;_;;;книга;омонимия не снята;Она не задерживает дыхание жабр и кожи и вместе с тем надежно защищает: ни зубы акулы, ни острый нож не прорежут этой брони, ― отвечал Ихтиандр, укладываясь в постель. [А. Р. Беляев. Человек-амфибия (1928)] [омонимия не снята]
 мыннелвиркси окьлоксен ,мыннилд яслижуроов ,икчо; мыртсо ;очки, вооружился длинным, несколько искривленным ; острым ; ; ножом и смело подплыл к;А. Р. Беляев. Человек-амфибия (1928);А. Р. Беляев;1884;Человек-амфибия;1928;художественная;роман;_;;;книга;омонимия не снята;Ихтиандр надел очки, вооружился длинным, несколько искривленным острым ножом и смело подплыл к гроту. [А. Р. Беляев. Человек-амфибия (1928)] [омонимия не снята]
 ,яром ежбулг ,янрок ечперк ,агереб; еертсо ;берега, крепче корня, глубже моря, ; острее ; ; ножа, кто любит жарче, кто отчаяннее?;В. В. Каменский. Степан Разин (1928);В. В. Каменский;1884;Степан Разин;1928;художественная;роман;_;;;книга;омонимия не снята;Кто круче берега, крепче корня, глубже моря, острее ножа, кто любит жарче, кто отчаяннее?  [В. В. Каменский. Степан Разин (1928)] [омонимия не снята]
 яинлом алунсолоП; мыртсо ;Полоснула молния ; острым ; ; ножом.;В. В. Каменский. Степан Разин (1928);В. В. Каменский;1884;Степан Разин;1928;художественная;роман;_;;;книга;омонимия не снята;Полоснула молния острым ножом. [В. В. Каменский. Степан Разин (1928)] [омонимия не снята]
 ястеазерорп хин зи мондо В; мыртсо ;В одном из них прорезается ; острым ; ; ножом несколько отверстий по форме;И. Галынкер, В. Шервинский. Дешевые анодные аккумуляторы // «Радио Всем», 1928;И. Галынкер, В. Шервинский;;Дешевые анодные аккумуляторы;1928;нехудожественная, производственно-техническая;заметка;техника, электроника;«Радио Всем»;1928;журнал;омонимия не снята;В одном из них прорезается острым ножом несколько отверстий по форме пластинок. [И. Галынкер, В. Шервинский. Дешевые анодные аккумуляторы // «Радио Всем», 1928] [омонимия не снята]
 оген ялд ― еинавовтсещус еом; йыртсо ;мое существование ― для него ; острый ; ; нож.;К. И. Чуковский. Дневник 1922-1935 (1928);К. И. Чуковский;1882;Дневник 1922-1935;1928;бытовая, нехудожественная;дневник, записные книжки;администрация и управление, искусство и культура, политика и общественная жизнь, частная жизнь;;;книга;омонимия не снята;Самое мое существование ― для него острый нож. [К. И. Чуковский. Дневник 1922-1935 (1928)] [омонимия не снята]
 ьтеми омидохбоен ― ьрепет оннебосо; еыртсо ;особенно теперь ― необходимо иметь ; острые ; ; зубы и когти.;К. И. Чуковский. Дневник 1922-1935 (1928);К. И. Чуковский;1882;Дневник 1922-1935;1928;бытовая, нехудожественная;дневник, записные книжки;администрация и управление, искусство и культура, политика и общественная жизнь, частная жизнь;;;книга;омонимия не снята;Работнику сцены ― особенно теперь ― необходимо иметь острые зубы и когти. [К. И. Чуковский. Дневник 1922-1935 (1928)] [омонимия не снята]
 имылеб отч ,мет ьсоличнок оН; имыртсо ;Но кончилось тем, что белыми ; острыми ; ; зубами, ловко подкравшись, тяпнул нежного;М. А. Осоргин. Сивцев Вражек (1928);М. А. Осоргин;1878;Сивцев Вражек;1928;художественная;роман;_;;;книга;омонимия не снята;Но кончилось тем, что белыми острыми зубами, ловко подкравшись, тяпнул нежного младенца и спасся на дерево от разъяренной матери. [М. А. Осоргин. Сивцев Вражек (1928)] [омонимия не снята]
 огонняесу ,авырбо уноротс в яслянолкан; имыртсо ;наклонялся в сторону обрыва, усеянного ; острыми ; ; зубами каких-то необыкновенных камней.;Максим Горький. Жизнь Клима Самгина. Часть 2 (1928);Максим Горький;1868;Жизнь Клима Самгина. Часть 2;1928;художественная;роман;_;;;книга;омонимия не снята;"Иногда серая лента дороги изгибалась почти под прямым углом; чернобородый кучер туго натягивал вожжи, экипаж наклонялся в сторону обрыва, усеянного острыми зубами каких-то необыкновенных камней. [Максим Горький. Жизнь Клима Самгина. Часть 2 (1928)] [омонимия не снята]"
 ,еиклем алажанбо ,ьсяаминдопирп ,абуг яянхрев; еыртсо ;верхняя губа, приподнимаясь, обнажала мелкие, ; острые ; ; зубы.;Максим Горький. Жизнь Клима Самгина. Часть 3 (1928);Максим Горький;1868;Жизнь Клима Самгина. Часть 3;1928;художественная;роман;_;;;книга;омонимия не снята;Официант не понравился ему, ― говорил он пренебрежительно, светленькие усики его щетинились неприятно, а короткая верхняя губа, приподнимаясь, обнажала мелкие, острые зубы. [Максим Горький. Жизнь Клима Самгина. Часть 3 (1928)] [омонимия не снята]
 или мокизбол екнетс йендереп в; мыртсо ;в передней стенке лобзиком или ; острым ; ; ножом проделывают отверстия для переключателя,;П. Селиванов. Простой одноламповый приемник с двухсеточной лампой // «Радио Всем», 1928;П. Селиванов;;Простой одноламповый приемник с двухсеточной лампой;1928;нехудожественная, производственно-техническая;статья;техника, электроника;«Радио Всем»;1928;журнал;омонимия не снята;Когда отделка окончена, в передней стенке лобзиком или острым ножом проделывают отверстия для переключателя, гнезд и клемм, а также просверливают отверстие для осей вариометров и реостата. [П. Селиванов. Простой одноламповый приемник с двухсеточной лампой // «Радио Всем», 1928] [омонимия не снята]
 тюазерс икйобан унищлот ююншилзи оготэ; мыртсо ;этого излишнюю толщину набойки срезают ; острым ; ; ножом до толщины 2- 3;коллективный. I-V-2 на двухсеточных лампах (добавление к статье в № 5 «РВ» за 1328 г.) // «Радио Всем», 1928;коллективный;;I-V-2 на двухсеточных лампах (добавление к статье в № 5 «РВ» за 1328 г.);1928;нехудожественная, производственно-техническая;статья;техника, электроника;«Радио Всем»;1928;журнал;омонимия не снята;Для этого излишнюю толщину набойки срезают острым ножом до толщины 2- 3 мм, затем обычным способом крепятся гнезда, и панель привертывается к панели приемника, как показано на рисунке. [коллективный. I-V-2 на двухсеточных лампах (добавление к статье в № 5 «РВ» за 1328 г.) // «Радио Всем», 1928] [омонимия не снята]
 отсорп или акиньлипан морбер ,мокизбол; мыртсо ;лобзиком, ребром напильника или просто ; острым ; ; ножом.;коллективный. Из радиолюбительской практики // «Радио Всем», 1928;коллективный;;Из радиолюбительской практики;1928;нехудожественная, производственно-техническая;заметка;техника, электроника;«Радио Всем»;1928;журнал;омонимия не снята;Часть амбушюра, заштрихованная на рисунке, отпиливается лобзиком, ребром напильника или просто острым ножом. [коллективный. Из радиолюбительской практики // «Радио Всем», 1928] [омонимия не снята]
 с ,йытавечоловс ,еонреван ,ьнерап но; имыртсо ;он парень, наверное, сволочеватый, с ; острыми ; ; зубами, зубов ― на шестьдесят;И. Э. Бабель. Нефть (1922-1928);И. Э. Бабель;1894;Нефть;1922-1928;художественная;рассказ;_;;;книга;омонимия не снята;Будет он парень, наверное, сволочеватый, с острыми зубами, зубов ― на шестьдесят человек. [И. Э. Бабель. Нефть (1922-1928)] [омонимия не снята]
 хытунусыв модяр с ,еишьлобен ыдром; хыртсо ;морды небольшие, с рядом высунутых ; острых ; ; зубов, лапы длинные, прямые ―;А. П. Чапыгин. Разин Степан (1927);А. П. Чапыгин;1870;Разин Степан;1927;художественная;роман;_;;;книга;омонимия не снята;Звери гладкошерстны, коричневы, в черных пятнах, морды небольшие, с рядом высунутых острых зубов, лапы длинные, прямые ― отличие быстроты бега… [А. П. Чапыгин. Разин Степан (1927)] [омонимия не снята]
 имяинеживд доп ьсилапсар акют ирт; хыртсо ;три тюка распались под движениями ; острых ; ; ножей.;А. С. Грин. Фанданго (1927);А. С. Грин;1880;Фанданго;1927;художественная;рассказ;_;;;книга;омонимия не снята;Еще три тюка распались под движениями острых ножей. [А. С. Грин. Фанданго (1927)] [омонимия не снята]
 ьтазеран и нотрак йытслот мокшилс; мыртсо ;слишком толстый картон и нарезать ; острым ; ; ножом на отдельные палочки.;П. Радецкий. Множительные палочки // «В мастерской природы», 1927;П. Радецкий;;Множительные палочки;1927;нехудожественная, публицистика, учебно-научная;статья;математика, наука и технологии;«В мастерской природы»;1927;журнал;омонимия не снята;Их следует наклеить на не слишком толстый картон и нарезать острым ножом на отдельные палочки. [П. Радецкий. Множительные палочки // «В мастерской природы», 1927] [омонимия не снята]
 оволс еорбод и …итсапан ежух; еертсо ;хуже напасти… и доброе слово ; острее ; ; ножа! ;С. А. Клычков. Князь мира (1927);С. А. Клычков;1889;Князь мира;1927;художественная;роман;_;;;книга;омонимия не снята;Видно, и барская милость хуже напасти… и доброе слово острее ножа!  [С. А. Клычков. Князь мира (1927)] [омонимия не снята]
 межерыВ; мыртсо ;Вырежем ; острым ; ; ножом в обложке от тетради;Т. Николаев. Новый способ измерения светил // «В мастерской природы», 1927;Т. Николаев;;Новый способ измерения светил;1927;нехудожественная, учебно-научная;статья;астрономия, наука и технологии;«В мастерской природы»;1927;журнал;омонимия не снята;Вырежем острым ножом в обложке от тетради прямолинейную щель в 1- 2 см длины и 1- 2 мм ширины. [Т. Николаев. Новый способ измерения светил // «В мастерской природы», 1927] [омонимия не снята]
 ,гереб йикид :иирбалаК омим илидохорп; еыртсо ;проходили мимо Калабрии: дикий берег, ; острые ; ; зубья скал, нагромождения лилово- серых;А. Н. Толстой. Древний путь (1925-1927);А. Н. Толстой;1882;Древний путь;1925-1927;художественная;рассказ;_;;;книга;омонимия не снята;Ранним утром проходили мимо Калабрии: дикий берег, острые зубья скал, нагромождения лилово- серых камней. [А. Н. Толстой. Древний путь (1925-1927)] [омонимия не снята]
 ьтизнов ,ьсишвунревереп ,и узинс ьтылпдоп; еыртсо ;подплыть снизу и, перевернувшись, вонзить ; острые ; ; зубы в брюхо пилы- рыбы.;А. Р. Беляев. Остров погибших кораблей (1926);А. Р. Беляев;1884;Остров погибших кораблей;1926;художественная;роман;_;;;книга;омонимия не снята;Акула норовила подплыть снизу и, перевернувшись, вонзить острые зубы в брюхо пилы- рыбы. [А. Р. Беляев. Остров погибших кораблей (1926)] [омонимия не снята]
 еиклем ьсилажанбо огеиД екбылу йотсач; еыртсо ;частой улыбке Диего обнажались мелкие ; острые ; ; зубы, в серо-зеленых глазах, чуть;О. Д. Форш. Салтычихин грот (1926);О. Д. Форш;1873;Салтычихин грот;1926;художественная;рассказ;_;;;книга;омонимия не снята;В частой улыбке Диего обнажались мелкие острые зубы, в серо-зеленых глазах, чуть прищуренных, было хищное и смешливое, как у щуки, хватающей пескаря. [О. Д. Форш. Салтычихин грот (1926)] [омонимия не снята]
 отч ,ончеремус кат олыб и; еыртсо ;и было так сумеречно, что ; острые ; ; иглы, пробившиеся сквозь щели дверей,;Б. Губер. Новое и жеребцы (1925);Б. Губер;1903;Новое и жеребцы;1925;художественная;повесть;_;;;книга;омонимия не снята;Внизу, в коридоре топилась печка и было так сумеречно, что острые иглы, пробившиеся сквозь щели дверей, становились розовато- заметными. [Б. Губер. Новое и жеребцы (1925)] [омонимия не снята]
.алрог икчелок еытаворес :ондо окьлот; йыртсО ;только одно: сероватые колечки горла.; Острый ; ; нож я вколол в горло;М. А. Булгаков. Стальное горло (1925);М. А. Булгаков;1891;Стальное горло;1925;художественная;рассказ;_;;;книга;омонимия не снята;только одно: сероватые колечки горла. Острый нож я вколол в горло и обмер. [М. А. Булгаков. Стальное горло (1925)] [омонимия не снята]
 еылеб и ,ядис оге алитертсв; еыртсо ;встретила его сидя, и белые ; острые ; ; зубы и улыбку свою обернула;М. М. Пришвин. Смертный пробег (1925);М. М. Пришвин;1873;Смертный пробег;1925;художественная;рассказ;_;;;книга;омонимия не снята;Она встретила его сидя, и белые острые зубы и улыбку свою обернула прямо в его простейшую и страшную пасть. [М. М. Пришвин. Смертный пробег (1925)] [омонимия не снята]
 хикат в лавыб но жу; хыртсо ;уж он бывал в таких ; острых ; ; зубах и по неделям лежал.;М. М. Пришвин. Смертный пробег (1925);М. М. Пришвин;1873;Смертный пробег;1925;художественная;рассказ;_;;;книга;омонимия не снята;Много раз уж он бывал в таких острых зубах и по неделям лежал. [М. М. Пришвин. Смертный пробег (1925)] [омонимия не снята]
 кеволеч теавибу илсе ,агелет теде; мыртсо ;едет телега, если убивает человек ; острым ; ; ножом, ― все это творение;А. С. Сорокин. Почему улетела птица (1924);А. С. Сорокин;1884;Почему улетела птица;1924;художественная;рассказ;_;;;книга;омонимия не снята;Если, громыхая колесами, едет телега, если убивает человек острым ножом, ― все это творение Эрлика. [А. С. Сорокин. Почему улетела птица (1924)] [омонимия не снята]
 хи непутсоден ыб лыб йыроток; мыртсо ;который был бы недоступен их ; острым ; ; зубам.;В. А. Обручев. Земля Санникова (1924);В. А. Обручев;1863;Земля Санникова;1924;художественная;роман;_;;;книга;омонимия не снята;Всего проще было заставить их бежать на собственных ногах, но не было ни цепи, ни проволоки, чтобы сделать повод, который был бы недоступен их острым зубам. [В. А. Обручев. Земля Санникова (1924)] [омонимия не снята]
 он ,йикторок асяоп аз-зи луныв; йыртсо ;вынул из-за пояса короткий, но ; острый ; ; нож из халцедона, тщательно выточенный;В. А. Обручев. Земля Санникова (1924);В. А. Обручев;1863;Земля Санникова;1924;художественная;роман;_;;;книга;омонимия не снята;"Помолившись, шаман вынул из-за пояса короткий, но острый нож из халцедона, тщательно выточенный и насаженный на костяную ручку, украшенную резьбой; по форме нож походил на кинжал и употреблялся только для кровавой жертвы. [В. А. Обручев. Земля Санникова (1924)] [омонимия не снята]"
 водяр окьлоксен вижанбо и ьтсап; хыртсо ;пасть и обнажив несколько рядов ; острых ; ; зубов, начало взбираться на нос;В. А. Обручев. Плутония (1924);В. А. Обручев;1863;Плутония;1924;художественная;роман;_;;;книга;омонимия не снята;Животное некоторое время смотрело на оцепеневших от неожиданности людей, а затем, разинув пасть и обнажив несколько рядов острых зубов, начало взбираться на нос лодки, которая под его тяжестью стала погружаться глубже. [В. А. Обручев. Плутония (1924)] [омонимия не снята]
 ,ксерт яслашылсоП; еыртсо ;Послышался треск, ; острые ; ; зубы крошили дерево и впивались;В. А. Обручев. Плутония (1924);В. А. Обручев;1863;Плутония;1924;художественная;роман;_;;;книга;омонимия не снята;Послышался треск, острые зубы крошили дерево и впивались в жестяную оковку лопасти. [В. А. Обручев. Плутония (1924)] [омонимия не снята]
 йешвилаксо ,йодром йопут и имагон; еыртсо ;ногами и тупой мордой, оскалившей ; острые ; ; зубы.;В. А. Обручев. Плутония (1924);В. А. Обручев;1863;Плутония;1924;художественная;роман;_;;;книга;омонимия не снята;Оно было темно-желтой масти с кошачьей головой, довольно длинным и толстым хвостом, короткими ногами и тупой мордой, оскалившей острые зубы. [В. А. Обручев. Плутония (1924)] [омонимия не снята]
